Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",description
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470502,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470502,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470502,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470502,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470796,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470796,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470796,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470796,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470796,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470796,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/20/2019,WDD2221591A470796,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A417333,no,yes,AV System,Street,A software component was not initialized correctly. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A417333,no,yes,AV System,Street,System could not generate vehicle trajectory. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A417333,no,yes,AV System,Street,A software component was not initialized correctly. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A417333,no,yes,Test Driver,Street,Driver pressed the accelerator pedal because the vehicle was driving slower than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A417333,no,yes,Test Driver,Street,Driver pressed the accelerator pedal because the vehicle was driving slower than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A417333,no,yes,AV System,Street,Invalid control unit operation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470497,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470497,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470497,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470497,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470500,no,yes,AV System,Street,The system disengaged because the driver seat belt not being properly fastened. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470500,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470500,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470500,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470500,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470500,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/21/2019,WDD2221591A470796,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A383190,no,yes,AV System,Street,A software component was not initialized correctly. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A383190,no,yes,AV System,Street,A software component was not initialized correctly. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A383190,no,yes,AV System,Street,A software component was not initialized correctly. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A417333,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A417333,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470497,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470497,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470497,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470497,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470497,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470497,no,yes,AV System,Street,Invalid control unit operation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470497,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470497,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470497,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470500,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470500,no,yes,AV System,Street,Invalid map processing operation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470500,no,yes,AV System,Street,Invalid map processing operation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470500,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/22/2019,WDD2221591A470796,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A417333,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A417333,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A417333,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470497,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470497,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470497,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470497,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470500,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470500,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470500,no,yes,AV System,Street,Invalid map processing operation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions wet in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470500,no,yes,AV System,Street,Invalid map processing operation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions wet in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470500,no,yes,AV System,Street,Invalid map processing operation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions wet in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470500,no,yes,AV System,Street,Invalid sensor fusion operation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470500,no,yes,AV System,Street,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions wet in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver performed steering maneuver because the vehicle didn?t drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470796,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470796,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470796,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/23/2019,WDD2221591A470796,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/25/2019,WDD2221591A383190,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/25/2019,WDD2221591A383190,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/25/2019,WDD2221591A383190,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/25/2019,WDD2221591A383190,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/25/2019,WDD2221591A417333,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/25/2019,WDD2221591A417333,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/25/2019,WDD2221591A470497,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/25/2019,WDD2221591A470497,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/25/2019,WDD2221591A470497,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/25/2019,WDD2221591A470500,no,yes,AV System,Street,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
"Mercedes-Benz Research & Development North America, Inc.",AVT002,11/25/2019,WDD2221591A470502,no,yes,Test Driver,Street,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.
